"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, August 01, 2012",,
"",,,,,Occurred,,
"",Date,Time,,,,,
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Under 21 with Alcohol in Body, Under 21 in Possession",,
12-14356T,8/18,0006 hrs,8/18,0006 hrs,8/18,0021 hrs,,Villas at Vista del Sol,Cleared by Arrest
"",,,,,,,of Alcohol,,
12-14365T,8/18,0212 hrs,8/18,0212 hrs,8/18,0230 hrs,"Assault, Domestic Violence",Lot 16,Pending
"",,,,,,,"Super Extreme DUI w/BAC of 0.20 or higher, Extreme",,
"",,,,,,,,S Mill Ave / Concordia,
12-14366T,8/18,0232 hrs,8/18,0232 hrs,8/18,0320 hrs,"DUI w/BAC of 0.15 or higher, DUI w/BAC of 0.08 or",,Cleared by Arrest
"",,,,,,,,Dr,
"",,,,,,,"higher, DUI, Reckless Driving",,
12-14393T,8/18,1043 hrs,8/17,1700 hrs,8/18,1000 hrs,Bike Theft,Willow Hall,Pending
12-14439T,8/18,2137 hrs,8/18,1600 hrs,8/18,1920 hrs,Bike Theft,Rosewood Hall,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,S Ash Ave / W,
12-14466T,8/19,0144 hrs,8/19,0144 hrs,8/19,0204 hrs,Misdemeanor Warrant,,Cleared by Arrest
"",,,,,,,,University Dr,
"",,,,,,,"DUI, DUI w/BAC of 0.08 or higher, Extreme DUI",,
"",,,,,,,"w/BAC of 0.15 or higher, Under 21 in Physical Control",1200 Block of E,
12-14471T,8/19,0238 hrs,8/19,0238 hrs,8/19,0309 hrs,,,Cleared by Arrest
"",,,,,,,"of Motor Vehicle w/Liquor in Body, Under 21 with",University Way,
"",,,,,,,Alcohol in Body,,
12-14473T,8/19,0241 hrs,8/19,0241 hrs,8/19,0306 hrs,Under 21 with Alcohol in Body,Palo Verde West,Cleared by Arrest
12-14487T,8/19,1110 hrs,8/19,1000 hrs,8/19,1100 hrs,Bike Theft,Vista del Sol,Pending
"",,,,,,,,Sun Devil Recreation,
12-14493T,8/19,1232 hrs,8/19,1215 hrs,8/19,1230 hrs,Theft,,Pending
"",,,,,,,,Center,
12-14497T,8/19,1400 hrs,8/19,1000 hrs,8/19,1330 hrs,Bike Theft,Agave Hall,Pending
